model,layer,probe_only_auroc,length_word_auroc,joint_auroc,probe_coef,probe_pvalue,length_coef,length_pvalue
llama,1,0.9795,0.973346875,0.9787125,2.945936960213336,3.441691376337985e-14,2.2345324110730105,0.0003789507829752292
llama,2,0.9802312500000001,0.973346875,0.979375,3.2867253706161863,3.552713678800501e-15,1.7185824160524896,0.004023899224159022
llama,3,0.98224375,0.973346875,0.98174375,3.7887272865459733,2.220446049250313e-16,1.2450639424977283,0.037993667877966875
llama,4,0.98311875,0.973346875,0.98224375,3.7190501156682942,2.220446049250313e-16,1.3385343439909285,0.02818824869928971
llama,5,0.9822437500000001,0.973346875,0.98133125,3.4809620113529784,2.220446049250313e-16,1.6516598567311414,0.00783719561764551
llama,6,0.9811000000000001,0.973346875,0.9808875000000001,3.7177578139326175,2.220446049250313e-16,1.3019425847279402,0.026553431978712405
llama,7,0.978875,0.973346875,0.9784499999999999,3.362692395446901,1.1102230246251565e-15,1.7132946466824535,0.00530471669062238
llama,8,0.9811875000000001,0.973346875,0.9804312500000001,3.57018292234293,1.3322676295501878e-15,1.567367846515604,0.010585863528586037
llama,9,0.9808437500000001,0.973346875,0.9802500000000001,3.5664262736763854,8.881784197001252e-16,1.4253867807048923,0.018982036558895743
llama,10,0.98535,0.973346875,0.9847187500000001,3.8842328306911136,2.220446049250313e-16,1.3133589423911631,0.029005558379207708
llama,11,0.9891937500000001,0.973346875,0.9888125,4.612473968745334,0.0,0.6963574494152268,0.19946169600567187
llama,12,0.9882062500000001,0.973346875,0.9879562499999999,4.586758099799886,0.0,0.6848604392168366,0.21960618291605982
llama,13,0.9870437500000001,0.973346875,0.9864812500000001,4.222828038494849,0.0,1.0672727442496281,0.0745730162971765
llama,14,0.9868125,0.973346875,0.9863125,4.286224020925021,2.220446049250313e-16,0.9069848348047843,0.11444626433497196
llama,15,0.98661875,0.973346875,0.9860437499999999,4.2765156052759,2.220446049250313e-16,1.067769645325369,0.06079036960775941
llama,16,0.9856687500000001,0.973346875,0.98483125,3.9259028170895816,2.220446049250313e-16,1.4089291459496507,0.016681282839245304
llama,17,0.98626875,0.973346875,0.9854250000000001,3.9061653111397403,2.220446049250313e-16,1.322188845063494,0.02500630698468953
llama,18,0.9846625000000001,0.973346875,0.98379375,3.6966318306425103,1.1102230246251565e-15,1.5048537167238552,0.013528309586560816
