model,layer,bin,bin_lo,bin_hi,n,probe_auroc,length_auroc
phi3,21,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,22,0,1.0,2.0,283,0.6065934065934067,0.5362637362637362
phi3,22,1,2.0,4.0,118,0.9064814814814814,0.6657407407407407
phi3,22,2,4.0,10.0,206,0.9964539007092198,0.7386229314420805
phi3,22,3,10.0,44.0,193,0.9947916666666666,0.453125
phi3,23,0,1.0,2.0,283,0.5963369963369963,0.5362637362637362
phi3,23,1,2.0,4.0,118,0.9157407407407407,0.6657407407407407
phi3,23,2,4.0,10.0,206,0.9964539007092198,0.7386229314420805
phi3,23,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,24,0,1.0,2.0,283,0.6245421245421245,0.5362637362637362
phi3,24,1,2.0,4.0,118,0.8768518518518519,0.6657407407407407
phi3,24,2,4.0,10.0,206,0.9896572104018913,0.7386229314420805
phi3,24,3,10.0,44.0,193,0.9947916666666666,0.453125
phi3,25,0,1.0,2.0,283,0.6289377289377289,0.5362637362637362
phi3,25,1,2.0,4.0,118,0.8500000000000001,0.6657407407407407
phi3,25,2,4.0,10.0,206,0.9943853427895981,0.7386229314420805
phi3,25,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,26,0,1.0,2.0,283,0.6468864468864469,0.5362637362637362
phi3,26,1,2.0,4.0,118,0.887962962962963,0.6657407407407407
phi3,26,2,4.0,10.0,206,0.9955673758865248,0.7386229314420805
phi3,26,3,10.0,44.0,193,0.9270833333333334,0.453125
phi3,27,0,1.0,2.0,283,0.6501831501831502,0.5362637362637362
phi3,27,1,2.0,4.0,118,0.8722222222222222,0.6657407407407407
phi3,27,2,4.0,10.0,206,0.9946808510638298,0.7386229314420805
phi3,27,3,10.0,44.0,193,0.9427083333333334,0.453125
phi3,28,0,1.0,2.0,283,0.6413919413919414,0.5362637362637362
phi3,28,1,2.0,4.0,118,0.812962962962963,0.6657407407407407
phi3,28,2,4.0,10.0,206,0.9952718676122931,0.7386229314420805
phi3,28,3,10.0,44.0,193,0.953125,0.453125
phi3,29,0,1.0,2.0,283,0.6538461538461539,0.5362637362637362
phi3,29,1,2.0,4.0,118,0.8287037037037037,0.6657407407407407
phi3,29,2,4.0,10.0,206,0.9952718676122931,0.7386229314420805
phi3,29,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,30,0,1.0,2.0,283,0.6608058608058608,0.5362637362637362
phi3,30,1,2.0,4.0,118,0.7611111111111112,0.6657407407407407
phi3,30,2,4.0,10.0,206,0.9940898345153665,0.7386229314420805
phi3,30,3,10.0,44.0,193,1.0,0.453125
phi3,31,0,1.0,2.0,283,0.6967032967032968,0.5362637362637362
phi3,31,1,2.0,4.0,118,0.7777777777777778,0.6657407407407407
phi3,31,2,4.0,10.0,206,0.9955673758865249,0.7386229314420805
phi3,31,3,10.0,44.0,193,0.9895833333333334,0.453125
phi3,32,0,1.0,2.0,283,0.6761904761904762,0.5362637362637362
phi3,32,1,2.0,4.0,118,0.8148148148148148,0.6657407407407407
phi3,32,2,4.0,10.0,206,0.9976359338061466,0.7386229314420805
